manual_label,prompt,source url,query,published_time,modified_time,author
0,"I am grateful for the food that I have eaten in my life. I reflect on the meals that I have shared with friends, families, and colleagues. I am grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,I am mindful of the gifts that I received for special holidays and my birthday. I am grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,I reflect on my past and all the mentors and teachers who have helped me on my path. I feel grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,"I am aware of my interests and passions, which provide me with stimulation and inspire me. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,I am mindful of my health and my body. I reflect on the times when I have enjoyed good health. I am grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,"I am mindful of the challenges that I have faced on my journey to where I am now. Without these challenges, I would not be who I am today. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
0,"REDUCE YOUR ANXIETY AND LIVE IN THE PRESENT MOMENT: It's easy to feel worried when you're surrounded by negativity and headlines full of bad news. With The Mindfulness Journal, you can build a stress-reducing habit that makes you appreciate every single day.",https://www.amazon.com/Mindfulness-Journal-Practices-Writing-Reflections/dp/1973531690,mindfulness journaling prompts,"December 12, 2017",n/a,"Barrie Davenport, S.J. Scott"
0,"PLENTY OF WRITING SPACE: Each prompt is on its own separate page, so you'll have lots of room for reflection and space to write down ALL your thoughts. As one user commented: ""The writing prompts are very detailed so it is easy to write about specific things that allow for a better dose of self-reflection and awareness.""",https://www.amazon.com/Mindfulness-Journal-Practices-Writing-Reflections/dp/1973531690,mindfulness journaling prompts,"December 12, 2017",n/a,"Barrie Davenport, S.J. Scott"
0,"UNIQUE, ACTIONABLE PROMPTS: The Mindfulness Journal provides 365 daily writing prompts divided into 52 weekly mindfulness topics. This gives you seven days to fully immerse yourself in each topic. Also the prompts are unique enough so you'll never feel bored while journaling. These prompts are fun, engaging, and will help you gain an appreciation for the world around you.",https://www.amazon.com/Mindfulness-Journal-Practices-Writing-Reflections/dp/1973531690,mindfulness journaling prompts,"December 12, 2017",n/a,"Barrie Davenport, S.J. Scott"
0,"WRITE AT YOUR OWN PACE: While we suggest journaling once a day, you can spend as much time as you need on each prompt. The Mindfulness Journal is broken down into weekly themes. This means you can skip around and complete the prompts in any order that you choose.",https://www.amazon.com/Mindfulness-Journal-Practices-Writing-Reflections/dp/1973531690,mindfulness journaling prompts,"December 12, 2017",n/a,"Barrie Davenport, S.J. Scott"
